違反槍砲彈藥刀械管制條例概況,發生數(件) / 新北市 ,發生數(件) / 臺北市 ,發生數(件) / 桃園市 ,發生數(件) / 臺中市 ,發生數(件) / 臺南市 ,發生數(件) / 高雄市 ,發生數(件) / 臺灣省 ,發生數(件) / 福建省 ,破獲數(件) / 新北市 ,破獲數(件) / 臺北市 ,破獲數(件) / 桃園市 ,破獲數(件) / 臺中市 ,破獲數(件) / 臺南市 ,破獲數(件) / 高雄市 ,破獲數(件) / 臺灣省 ,破獲數(件) / 福建省 
89年,251,84,151,269,152,226,"1,888",1,208,123,136,245,155,217,"1,806",1
89年 1月,38,10,20,27,13,15,209,         －,36,12,19,26,13,14,203,         －
89年 2月,23,12,23,31,27,36,227,         －,25,11,16,30,28,38,235,         －
89年 3月,30,11,19,25,18,40,225,         －,20,19,18,16,21,38,205,         －
89年 4月,11,7,5,15,10,10,106,         －,10,8,4,13,10,10,101,         －
89年 5月,24,6,10,19,9,12,163,         －,20,10,8,17,7,13,151,         －
89年 6月,14,1,10,24,11,14,142,         －,12,3,9,21,11,12,137,         －
89年 7月,19,8,10,26,6,18,144,         －,15,13,9,25,5,19,136,         －
89年 8月,13,6,12,13,15,17,133,         －,9,4,13,13,19,17,132,         －
89年 9月,20,3,8,13,7,19,122,         －,15,9,10,13,7,15,114,         －
89年 10月,25,9,11,24,10,9,158,1,23,13,9,22,10,7,150,1
89年 11月,19,7,13,23,19,21,142,         －,13,13,12,21,18,21,135,         －
89年 12月,15,4,10,29,7,15,117,         －,10,8,9,28,6,13,107,         －
90年,170,76,134,198,125,159,"1,494",1,118,119,127,193,128,152,"1,407",2
90年 1月,14,7,10,21,12,8,166,         －,12,6,8,22,13,11,163,         －
90年 2月,21,5,6,23,20,17,154,         －,10,14,6,24,19,16,134,1
90年 3月,17,9,10,14,8,13,102,         －,13,14,10,13,8,11,96,         －
90年 4月,9,4,12,27,12,9,129,         －,6,7,11,27,12,7,125,         －
90年 5月,21,7,10,18,11,17,104,1,14,14,9,16,10,19,98,1
90年 6月,14,6,7,13,4,16,114,         －,10,8,9,12,5,16,109,         －
90年 7月,9,6,12,16,8,9,128,         －,5,9,11,17,8,7,121,         －
90年 8月,17,9,11,14,7,15,136,         －,11,15,9,13,8,14,124,         －
90年 9月,17,6,9,13,12,16,125,         －,15,8,8,12,13,15,114,         －
90年 10月,12,8,7,17,10,12,118,         －,9,10,6,17,10,11,109,         －
90年 11月,12,6,18,8,10,14,114,         －,9,9,18,7,10,12,110,         －
